Shuv-Flip Angle Mapping
==============================

Format: shuv_angle,flip_angle -> row,col

0,0 -> 0,0
0,15 -> 1,0
0,30 -> 2,0
0,45 -> 3,0
0,60 -> 4,0
0,75 -> 5,0
0,90 -> 6,0
0,105 -> 7,0
0,120 -> 8,0
0,135 -> 9,0
0,150 -> 10,0
0,165 -> 11,0
0,180 -> 12,0
0,195 -> 13,0
0,210 -> 14,0
0,225 -> 15,0
0,240 -> 16,0
0,255 -> 17,0
0,270 -> 18,0
0,285 -> 19,0
0,300 -> 20,0
0,315 -> 21,0
0,330 -> 22,0
0,345 -> 23,0
15,0 -> 0,1
15,15 -> 1,1
15,30 -> 2,1
15,45 -> 3,1
15,60 -> 4,1
15,75 -> 5,1
15,90 -> 6,1
15,105 -> 7,1
15,120 -> 8,1
15,135 -> 9,1
15,150 -> 10,1
15,165 -> 11,1
15,180 -> 12,1
15,195 -> 13,1
15,210 -> 14,1
15,225 -> 15,1
15,240 -> 16,1
15,255 -> 17,1
15,270 -> 18,1
15,285 -> 19,1
15,300 -> 20,1
15,315 -> 21,1
15,330 -> 22,1
15,345 -> 23,1
30,0 -> 0,2
30,15 -> 1,2
30,30 -> 2,2
30,45 -> 3,2
30,60 -> 4,2
30,75 -> 5,2
30,90 -> 6,2
30,105 -> 7,2
30,120 -> 8,2
30,135 -> 9,2
30,150 -> 10,2
30,165 -> 11,2
30,180 -> 12,2
30,195 -> 13,2
30,210 -> 14,2
30,225 -> 15,2
30,240 -> 16,2
30,255 -> 17,2
30,270 -> 18,2
30,285 -> 19,2
30,300 -> 20,2
30,315 -> 21,2
30,330 -> 22,2
30,345 -> 23,2
45,0 -> 0,3
45,15 -> 1,3
45,30 -> 2,3
45,45 -> 3,3
45,60 -> 4,3
45,75 -> 5,3
45,90 -> 6,3
45,105 -> 7,3
45,120 -> 8,3
45,135 -> 9,3
45,150 -> 10,3
45,165 -> 11,3
45,180 -> 12,3
45,195 -> 13,3
45,210 -> 14,3
45,225 -> 15,3
45,240 -> 16,3
45,255 -> 17,3
45,270 -> 18,3
45,285 -> 19,3
45,300 -> 20,3
45,315 -> 21,3
45,330 -> 22,3
45,345 -> 23,3
60,0 -> 0,4
60,15 -> 1,4
60,30 -> 2,4
60,45 -> 3,4
60,60 -> 4,4
60,75 -> 5,4
60,90 -> 6,4
60,105 -> 7,4
60,120 -> 8,4
60,135 -> 9,4
60,150 -> 10,4
60,165 -> 11,4
60,180 -> 12,4
60,195 -> 13,4
60,210 -> 14,4
60,225 -> 15,4
60,240 -> 16,4
60,255 -> 17,4
60,270 -> 18,4
60,285 -> 19,4
60,300 -> 20,4
60,315 -> 21,4
60,330 -> 22,4
